"field","class","missing"
"ID","numeric",0
"county","factor",0
"township","character",0
"village","character",0
"application","numeric",0
"np","numeric",0
"age","numeric",0
"gender","numeric",0
"education","factor",0
"household_size","numeric",0
"income","numeric",0
"agri_share","numeric",0
"area","numeric",0
"livestock","numeric",0
"assets","numeric",0
"damage","numeric",0
"loss","numeric",0
"benefit","numeric",0
"ic1","numeric",0
"info_count","numeric",0
"minimum_ratio","numeric",9
"desired_ratio","numeric",4
"insurance_wtp","numeric",0
"timeliness","numeric",350
"satisfaction","numeric",349
"tol1","numeric",1
"tol2","numeric",0
"tol3","numeric",0
"tol4","numeric",0
"word1","numeric",0
"word2","numeric",45
"word3","numeric",155
"word_count","numeric",0
"word_mean","numeric",0
"ic","numeric",0
"conflict_wb","numeric",0
"conflict_all","numeric",0
"report_1","integer",2
"report_2","integer",2
"report_3","integer",2
"report_4","integer",2
"report_count","numeric",2
"report_contradiction","logical",0
"minimum_ratio_original","numeric",0
"minimum_ratio_flag","logical",0
"desired_ratio_original","numeric",0
"desired_ratio_flag","logical",0
"prevention_A","numeric",0
"prevention_cost_1","numeric",570
"prevention_B","numeric",0
"prevention_cost_2","numeric",510
"prevention_C","numeric",0
"prevention_cost_3","numeric",622
"prevention_D","numeric",0
"prevention_cost_4","numeric",625
"prevention_E","numeric",0
"prevention_cost_5","numeric",611
"prevention_F","numeric",0
"prevention_cost_6","numeric",625
"prevention_G","numeric",0
"prevention_cost_7","numeric",625
"prevention_n","numeric",0
"prevention_used","integer",0
"prevention_eff","numeric",83
"prevention_eff0","numeric",0
"log_income","numeric",0
"log_area","numeric",0
"log_livestock","numeric",0
"log_assets","numeric",0
"log_damage","numeric",0
"log_loss","numeric",0
"tolerance3","numeric",1
"tolerance4","numeric",1
"damage_exceeds_area","logical",0
"damage_share","numeric",0
"loss_income_share","numeric",19
"partition","character",0
